Text,is_rule,ID,source,class_resolved,metadata
All three parts of the installation and commissioning checklist should be completed.,,262_UK_DocF_V1_Ventilation,classification,,
The three-part form should be completed for each installation address.,,264_UK_DocF_V1_Ventilation,classification,,
"A copy should be submitted to the building control body as evidence that the system has been correctly installed, inspected and commissioned.",,265_UK_DocF_V1_Ventilation,classification,,
"For emergency repairs, if it is not possible to notify the building control body in advance, the building control body should be notified as soon as possible.",,4_UK_DocF_V2_Ventilation,classification,,
A unit that contains both living accommodation and space for commercial purposes (e.g. for a workshop or office) should be treated as a dwelling if the commercial part can be reverted to domestic use.,,7_UK_DocF_V2_Ventilation,classification,,
Combustion appliances must operate safely whether or not fans are running.,,11_UK_DocF_V2_Ventilation,classification,,
There shall be adequate means of ventilation provided for people in the building.,,15_UK_DocF_V2_Ventilation,classification,,
"Mechanical ventilation systems, including both continuous and intermittent mechanical ventilation, should be designed and installed to minimise noise.",,21_UK_DocF_V2_Ventilation,classification,,
"For mechanical ventilation systems, fan units should be appropriately sized so that fans operating in normal background ventilation mode are not overly noisy, taking into consideration the use and likely background level of noise from other sources.",,23_UK_DocF_V2_Ventilation,classification,,
Rigid ducts should be used wherever possible.,,30_UK_DocF_V2_Ventilation,classification,,
"Where necessary, flexible ducts may be used for final connections, but their lengths should be kept to a minimum.",,31_UK_DocF_V2_Ventilation,classification,,
Duct connections should be both mechanically secured and adequately sealed to prevent leaks.,,33_UK_DocF_V2_Ventilation,classification,,
Rigid connectors and jubilee clips should be used for flexible ducting to ensure a good seal.,,34_UK_DocF_V2_Ventilation,classification,,
Mechanical ventilation systems must be commissioned in accordance with an approved procedure.,,35_UK_DocF_V2_Ventilation,classification,,
NOTE: Rooms that are designed to contain printers and photocopiers in substantial use (more than 30 minutes per hour) should not be designed to be occupied.,,44_UK_DocF_V2_Ventilation,classification,,
The air extract rate should be 20 litres per second per machine during use.,,46_UK_DocF_V2_Ventilation,classification,,
The whole building ventilation rate should be met.,,47_UK_DocF_V2_Ventilation,classification,,
Extract ventilators in sanitary accommodation should be capable of continuous operation if required.,,48_UK_DocF_V2_Ventilation,classification,,
"Where used, passive stack ventilation terminals should be located in the ceiling.",,50_UK_DocF_V2_Ventilation,classification,,
"Each office should have the means to provide purge ventilation, to reduce pollutants before the office space is occupied or after activities such as painting.",,56_UK_DocF_V2_Ventilation,classification,,
Controls should be provided for ventilators so that the ventilation in each room can be adjusted.,,58_UK_DocF_V2_Ventilation,classification,,
"Ventilation systems that, under normal operation, recirculate air between more than one space, room or zone should also be able to operate in a mode that reduces the risk of the transmission of airborne infection.",,60_UK_DocF_V2_Ventilation,classification,,
"For car parks below ground level, enclosed car parks and multistorey car parks, the ventilation rate should be designed, and equipment installed, to limit carbon monoxide to both of the following: a. natural ventilation by appropriately located ventilation opening(s) with a total opening area of at least 1/50 of the floor area of the common space; b. mechanical ventilation installed to provide a supply of fresh air of 0.5 litres per second per m2 of floor area.",,62_UK_DocF_V2_Ventilation,classification,,
Extract ventilators in sanitary accommodation should be capable of continuous operation if required.,,66_UK_DocF_V2_Ventilation,classification,,
Ventilation intakes should be located away from the direct impact of the sources of local pollution.,,72_UK_DocF_V2_Ventilation,classification,,
"Where there is a prevailing wind direction, exhaust outlets should be downwind of intakes.",,78_UK_DocF_V2_Ventilation,classification,,
NOTE: Ventilation through infiltration should be considered to be part of the ventilation provision of a building.,,79_UK_DocF_V2_Ventilation,classification,,
"NOTE: If an exposed facade is close to an area of sustained and loud noise (e.g. a main road), then a noise attenuating background ventilator should be fitted.",,85_UK_DocF_V2_Ventilation,classification,,
Mechanical ventilation systems must be commissioned to provide adequate ventilation.,,93_UK_DocF_V2_Ventilation,classification,,
commissioning notice must be given to the building control body.,,94_UK_DocF_V2_Ventilation,classification,,
"For new and existing buildings other than dwellings, information should be provided in a new or existing building log book.",,98_UK_DocF_V2_Ventilation,classification,,
A copy of the completed commissioning sheet should be given to the owner of the building.,,99_UK_DocF_V2_Ventilation,classification,,
That background ventilators allow fresh air into the building and should be left open.,,102_UK_DocF_V2_Ventilation,classification,,
Extract ventilation may be by natural means or by mechanical means (e.g. by an extract fan or acentral system).,,105_UK_DocF_V2_Ventilation,classification,,
Purge ventilation may be provided by natural means (e.g. an openable window) ormechanical means (e.g. a fan).,,108_UK_DocF_V2_Ventilation,classification,,
"There should be a supply rate, in the absence of tobacco smoke or other excessive pollutants, of 10 litres per second per person.",,114_UK_DocF_V2_Ventilation,classification,,
There should be no visible mould on the inner surfaces of external walls of a properly heated building with typical moisture generation.,,115_UK_DocF_V2_Ventilation,classification,,
Public Health Englands Indoor Air Quality Guidelines for Selected Volatile Organic Compounds (VOCs) in the UK should be used.,,118_UK_DocF_V2_Ventilation,classification,,
Monitors should therefore be positioned at least 500mm away from room occupants.,,123_UK_DocF_V2_Ventilation,classification,,
"Instantaneous or snapshot CO2 readings can be misleading, so several measurements should be taken throughout the day.",,124_UK_DocF_V2_Ventilation,classification,,
The frequency of measurements should be sufficient to ensure that changes in the use of the room or space throughout the day are represented in the readings.,,125_UK_DocF_V2_Ventilation,classification,,
"How the measurements can help you take action CO2 measurements should be used as a broad guide to ventilation within a space, rather than treated as safe thresholds.",,126_UK_DocF_V2_Ventilation,classification,,
"Stairs, ladders and ramps shall be so designed, constructed and installed as to be safe for people moving between different levels in or about the building.",,14_UK_DocK_ProtectionFromFalling,classification,,
"For dwellings, for external tapered steps and stairs that are part of the building the going of each step should be a minimum of 280mm.",,18_UK_DocK_ProtectionFromFalling,classification,,
The normal relationship between the dimensions of the rise and going is: twice the rise plus the going (2R G) equals between 550mm and 700mm.,,19_UK_DocK_ProtectionFromFalling,classification,,
"Gangways should not be less than 1100mm wide unless used by not more than 50 persons, in which case gangways should be a minimum of 900mm.",,8_UK_DocK_ProtectionFromFalling,classification,,
"In a tier that is uninterrupted by cross-gangways, and where the pitch exceeds 25, use a maximum number of steps of 40.",,25_UK_DocK_ProtectionFromFalling,classification,,
"For buildings other than dwellings and for common access areas in buildings that contain flats, Provide all means of escape routes with a minimum clear headroom of 2m, except in doorways.",,28_UK_DocK_ProtectionFromFalling,classification,,
"Where there is full-height structural guarding, if you provide a second (lower) handrail, the vertical height from the pitch line of the steps (or the surface of the ramp) to the top of the second (lower) handrail should be 600mm.",,50_UK_DocK_ProtectionFromFalling,classification,,
NOTE: A floor level with a gradient of 1:20 or steeper should be designed as a ramp.,,54_UK_DocK_ProtectionFromFalling,classification,,
Length of landings to be at least equal to the width of the ramp.,,66_UK_DocK_ProtectionFromFalling,classification,,
"(a) any light well, basement area or similar sunken (b) any light well, basement area or similar sunken area connected to a building, shall be provided with barriers where it is necessary to protect people in or about the building from falling.",,74_UK_DocK_ProtectionFromFalling,classification,,
"Glazing, with which people are likely to come into contact whilst moving in or about the building shall: (a) if broken on impact, break in a way which is unlikely to cause injury; or (b) resist impact without breaking; or (c) be shielded or protected from impact.",,92_UK_DocK_ProtectionFromFalling,classification,,
"Provision shall be made to prevent people moving in or about the building from colliding with open windows, skylights or ventilators.",,98_UK_DocK_ProtectionFromFalling,classification,,
"Windows, skylights and ventilators which can be opened by people in or about the building shall be so constructed or equipped that they may be opened, closed or adjusted safely.",,107_UK_DocK_ProtectionFromFalling,classification,,
"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.",,109_UK_DocK_ProtectionFromFalling,classification,,
Special safety features are not necessary if the ladder is not more than 6m long.,,112_UK_DocK_ProtectionFromFalling,classification,,
"Provision shall be made to prevent any door or gate: (a) which slides or opens upwards, from falling onto any person; and (b) which is powered, from trapping any person.",,114_UK_DocK_ProtectionFromFalling,classification,,
Provision shall be made for powered doors and gates to be opened in the event of a power failure.,,115_UK_DocK_ProtectionFromFalling,classification,,
Provision shall be made to ensure a clear view of the space on either side of a swing door or gate.,,116_UK_DocK_ProtectionFromFalling,classification,,
"For sliding doors and gates, provide both of the following: (i) a stop or other effective means to prevent them coming off the end of the track; (ii) a retaining rail to prevent doors and gates falling if the suspension system fails or the rollers leave the track.",,120_UK_DocK_ProtectionFromFalling,classification,,
The floor area of the extension does not exceed 30m2.,,13_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The floor area of the extension does not exceed 30m2.,,16_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
What constitutes a substantial proportion should be assessed on a case-by-case basis by the building control body.,,18_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Manual controls, where provided, should be within reasonable reach of the occupants.",,20_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Where a building is erected, it must be a nearly zero-energy building.",,27_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Both before and after a newly constructed dwelling is built, a notice must be given to the building control body of the calculations.",,44_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
A new dwelling must be built to a minimum standard of total energy performance.,,46_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"For a building that contains more than one dwelling for example a block of flats or a terrace of houses an average target primary energy rate, target emission rate and target fabric energy efficiency rate may be calculated as an alternative to individual target rates for each dwelling.",,50_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"The same approved calculation tool must be used to calculate the target primary energy rate, target emission rate and target fabric energy efficiency rate and the dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate.",,56_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The dwelling primary energy rate must not exceed the individual dwellings target primary energy rate.,,64_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The dwelling emission rate must not exceed the individual dwellings target emission rate.,,65_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The dwelling fabric energy efficiency rate must not exceed the individual dwellings target fabric energy efficiency rate.,,66_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"The average dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated using the same averaging methodology.",,70_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The efficiency of the secondary heating appliance with its appropriate fuel should be used in the calculation of the dwelling primary energy rate and dwelling emission rate.,,73_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"If thermal energy is supplied from a district heat network, a CO2 emission factor and primary energy factor for the heat delivered to the dwelling by the district heat network should be calculated.",,76_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The annual percentage of heat supplied from each heat source should be the same for each newly connected dwelling.,,79_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
A new district heat network should be taken as meaning any other district heat network.,,83_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Instead, the dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated as if the area covered by the pool were replaced with the equivalent area of floor with the same U-value as the pool surround.",,84_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"When a dwelling undergoes a major renovation, the technical, environmental and economic feasibility of installing high-efficiency alternative systems should be considered.",,98_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"U-values should be assessed for the whole fabric element (e.g. in the case of a window, the combined performance of the glazing and the frame).",,104_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"NOTE: When a single U-value is calculated for a product range of doors, the configuration of the door chosen for the calculation should be the worst performing in the product range.",,108_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"To correctly assess whether an element meets the limiting U-value, the U-value must be calculated for the element in the appropriate plane - either horizontal or vertical.",,109_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"For windows and roof windows, U-values should be calculated based on a vertical position.",,110_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"For roof-lights, U-values should be calculated based on a horizontal position.",,111_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"If performance requires thicker glass to be used, an equivalent window unit with standard thickness (6mm) glazing should be shown to meet the required standard.",,113_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"U-values for rooflights or rooflight-and-kerb assemblies should be based on the developed surface area of the rooflight (U-values), which is often greater than the area of the roof opening.",,114_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
An upstand built on site should not exceed a U-value of 0.35W/(m2K).,,115_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
These fittings should not exceed a centre pane U-value of 1.2W/(m2K).,,118_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Single glazing should be supplemented with low-emissivity secondary glazing.,,119_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"wind load, safety, security or acoustic attenuation) requires thicker glass to be used, an equivalent window unit with standard thickness (6mm) glazing should be shown to meet the required standard.",,121_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"U-values for rooflights or rooflight-and-kerb assemblies should be based on the outer developed surface area, which  is often greater than the area of the roof opening.",,122_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Generally, a thermal element once upgraded should not have a U-value greater than 0.7W/(m2K).",,125_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The depth of the insulation plus any required air gap should be at least to the depth of the rafters.,,128_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The insulant should be chosen to achieve the lowest practicable U-value.,,129_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The building fabric should be constructed so that the insulation is reasonably continuous across newly built elements.,,132_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Before elements are concealed by subsequent work, an onsite audit should be undertaken to confirm that the designed details have been constructed.",,133_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Floors and foundations: insulation should be installed tight to the structure, without air gaps between insulation panels and at edges.",,148_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Perimeter insulation should be continuous and have a minimum thickness of 25mm.,,135_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Moisture-resistant insulation should be fitted below damp-proof course level and extend to the foundation block/structure.,,136_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Windows and doors: should be installed in such a way that the thermal integrity of the insulated plane is maintained.,,137_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Position: window or door units should be located with an overlap between the inner face of the unit and the inner face of the external leaf  for windows an overlap between 30mm and 50mm, and for doors 50mm so that the window or door unit is contiguous with the insulation layer of the external wall.",,139_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Fully insulated and continuous cavity closers should be used, installed tight to the insulation and cavity apertures.",,140_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Walls: insulation should be fitted without any air gaps and tight to the structure, cavity closers, lintels and cavity trays.",,141_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Mortar snots should be removed to ensure a tight fit with the structure and cavities cleared of all debris.,,142_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Roofs: insulation should be installed tight to the structure, without air gaps, and should extend to the wall insulation.",,143_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"For roofs insulated at ceiling level, the long-term protection of the insulation layer should be considered: boarded areas should be provided above the insulation to give access for maintenance.",,144_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Boards should be fitted to the structure to avoid any gaps between board edges and between the board facings.,,145_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The use of boards with lapped or tongue and groove edges should be considered.,,146_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Any unavoidable gaps between boards should be infilled using compressible tape (e.g. for boards within roof rafters) or low expansion foam (e.g. for boards within wall cavities).,,147_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Designs should clearly indicate means to limit disruption to the insulation.,,150_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"For recessed meter boxes on the cold side of the construction, insulation should be installed behind the enclosure.",,151_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"The building fabric should be constructed so that thermal bridging, including at the party wall, is reasonably limited.",,152_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Drawings should be provided for junctions.,,153_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Complex details should be avoided wherever possible.,,154_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Before elements are concealed by subsequent work, an onsite audit should be undertaken to confirm that the designed details have been constructed.",,155_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Foundations: wherever possible, blocks below the damp-proof course should be the same as those specified in the design for the above-ground main wall element (in masonry construction).",,159_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Ground floors and external walls: the wall-to-floor junctions should be detailed to achieve continuity of insulation.,,160_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Masonry construction: external or cavity wall insulation should extend below the damp-proof course (where applicable) and be at least the equivalent of one full block height (215mm) below the underside of the floor structure/slab and beyond the depth of the floor insulation.,,161_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Intermediate floors: floor-to-wall junctions should be detailed to ensure that insulation in the external wall is continuous.,,162_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"For a timber frame where the intermediate floor structure breaches the external wall insulation, further insulation  of the same thickness as the insulation used in the external wall should be included within the depth of the intermediate floor structure.",,163_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"For common leaf lintels, the base plate should not be continuous and the lintel core should be insulated.",,164_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
Insulated cavity closers should be used for all construction types.,,165_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Additionally, insulated plaster-board should be used in reveals to abut jambs and should be considered within reveal soffits.",,166_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"Wall insulation should be installed to the top of the wall plate; in some places, such as the eaves, this may be above the cavity closure or barrier.",,167_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"In all cases, roof insulation should be continuous with wall insulation.",,168_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
The roof insulation should be installed when the eaves are still accessible.,,169_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
"At gables and party walls, insulation should extend to the wall; if the space between the wall and joist is less than 100mm, perimeter insulation may be required.",,170_UK_DocL_V1_ConsrvationOfFuelAndPower,classification,,
