Text,is_rule,ID,metadata
"cracks in concrete due to shrinkage and flexure, or voids in masonry construction.",0,113_UK_DocA_Structure,
Section 4: Roof covering.,0,114_UK_DocA_Structure,
Materials.,0,115_UK_DocA_Structure,
"All materials used to cover roofs, excluding windows of glass in residential buildings with roof pitches of not less than 15, shall be capable of safely withstanding the concentrated imposed loads upon roofs specified in BS EN 199111:2002 with its UK National Annex.",0,116_UK_DocA_Structure,
Where the work involves a significant change in the applied loading the structural integrity of the roof structure and the supporting structure should be checked to ensure that upon completion of the work the building is not less compliant with Requirement A1 than the original building.,0,117_UK_DocA_Structure,
A significant change in roof loading is when the loading upon the roof is increased by more than 15%.,0,118_UK_DocA_Structure,
"Where such checking of the existing roof structure indicates that the construction is unable to sustain any proposed increase in loading (e.g. due to overstressed members or unacceptable deflection leading to ponding), appropriate strengthening work or replacement of roofing members should be undertaken.",0,119_UK_DocA_Structure,
Introduction.,0,121_UK_DocA_Structure,
0.1 The guidance in Section 5 deals with the means of meeting this performance criterion.,0,122_UK_DocA_Structure,
"Alternatively, check that upon the notional removal of each supporting column and each beam supporting one or more columns, or any nominal length of loadbearing wall (one at a time in each storey of the building), the building remains stable and that the area of floor at any storey at risk of collapse does not exceed 15% of the floor area of that storey or 100m2, whichever is smaller, and does not extend further than the immediate adjacent storeys (see Diagram 24).",0,123_UK_DocA_Structure,
"Where the notional removal of such columns and lengths of walls would result in an extent of damage in excess of the above limit, then such elements should be designed as a key element as defined in paragraph 5.3 below.",0,124_UK_DocA_Structure,
"e. For Consequence Class 3 buildings:  A systematic risk assessment of the building should be undertaken taking into account all the normal hazards that may reasonablybe foreseen, together with any abnormal hazards.",0,125_UK_DocA_Structure,
Critical situations for design should be selected that reflect the conditions that can reasonably be foreseen as possible during the life of the building.,0,126_UK_DocA_Structure,
"5.2 Details of the effective horizontal andvertical ties including tie force determination,together with the design approaches for checking the integrity of the building following the notional removal of vertical members and the design of key elements, are given in the following.",0,127_UK_DocA_Structure,
5.3 Definitions.,0,128_UK_DocA_Structure,
"The nominal length of loadbearing wall construction referred to in 5.1d should be taken as follows: in the case of a reinforced concrete wall, the distance between lateral supports subject toa maximum length not exceeding 2.25H, in the case of an external masonry wall, or timber or steel stud wall, the length measured between vertical lateral supports, in the case of an internal masonry wall,or timber or steel stud wall, a length not exceeding 2.25H, where H is the storey height in metres.",0,129_UK_DocA_Structure,
Key elements.,0,130_UK_DocA_Structure,
"A key element, as referred to in paragraph 5.1d, should be capable of sustaining an accidental design loading of 34kN/m2 applied in the horizontal and vertical directions (in one directionat a time) to the member and any attached components (e.g. cladding etc.) having regard to the ultimate strength of such components and
their connections.",0,131_UK_DocA_Structure,
Such accidental design loading should be assumed to act simultaneously with all other design loadings (i.e. wind and imposed loading) in accidental actions loading combination.,0,134_UK_DocA_Structure,
"(Building work must be carried out so as to ensure that each dwelling is equipped with gigabit-ready physical infrastructure that extends from a network termination point for gigabit-capable public electronic communications networks and reaches (a) a distribution point, or (b) where the person carrying out the building work (the developer) has no right to install gigabit-ready physical infrastructure in land in which it would have to be installed if it were to reach a distribution point, as close as is reasonably practicable to a distribution point, or (c) where the developer has no such right and requirement RA2 is excluded or modified by regulation 44ZC, and would be so excluded or modified even if the gigabit-ready physical infrastructure were required to reach as close as is reasonably practicable to a distribution point(i)  as close as is reasonably practicable to a location at which a distribution point is likely to be installed within the relevant 2year period (a likely future location), or(ii)  where there is no likely future location that is closer to the building than the closest distribution point already installed, an access point for gigabit-capable public electronic communications networks, or(d) where the developer has no right to install gigabit-ready physical infrastructure in land beyond the building, an access point for gigabit-capable public electronic communications networks.",0,1_UK_DocR_V1_InfrastructureForElectircalCommunications,
Infrastructure for electronic communications continued.,0,2_UK_DocR_V1_InfrastructureForElectircalCommunications,
"Where the work concerns a building containing more than one dwelling, the work must be carried out so as to ensure that the building is equipped in addition with a common access point for gigabit-capable public electronic communications networks.",1,3_UK_DocR_V1_InfrastructureForElectircalCommunications,
"(3) In this paragraphdistribution point means a distribution point for a gigabit-capable public electronic communications network;the relevant 2year period means the period of 2 years beginning with the earlier of the following(a) the day on which a building notice, initial notice or public bodys notice relating to work to which this paragraph applies is given;(b) the day on which full plans relating to building work to which this paragraph applies are deposited.",0,4_UK_DocR_V1_InfrastructureForElectircalCommunications,
"NOTE: The network distribution point could be in a cabinet, a box mounted on a wall or on a telegraph pole.",1,5_UK_DocR_V1_InfrastructureForElectircalCommunications,
"Where a new building contains more than one dwelling, a common access point for a gigabit-capable public electronic communications network is required as a part of the buildings gigabit-ready physical infrastructure.",1,6_UK_DocR_V1_InfrastructureForElectircalCommunications,
The cost of providing a connection to a USO standard public electronic communications network connection would exceed the cost cap (see paragraph 2.21).,0,7_UK_DocR_V1_InfrastructureForElectircalCommunications,
"Where a developer seeks to rely on the building being in an isolated area as a reason to exempt new dwellings from requirement RA1, the developer must provide evidence in support of the exemption.",0,8_UK_DocR_V1_InfrastructureForElectircalCommunications,
"This should include an explanation of how new dwellings are in an area that is isolated from a relevant connection, that the cost of providing a USOstandard public electronic communications network connection exceeds the cost cap and why the prospect of a connection to a relevant network in the isolated area is considered too remote to justify equipping the building with the relevant gigabit-ready physical infrastructure.",0,9_UK_DocR_V1_InfrastructureForElectircalCommunications,
"Network terminationpoint (for each dwelling in building, see Diagrams 5 and 6).",0,10_UK_DocR_V1_InfrastructureForElectircalCommunications,
NOTE: All the diagrams in this approved document (Diagrams 1 to 6) are simplified.,0,11_UK_DocR_V1_InfrastructureForElectircalCommunications,
"For example, if there is a point that is as close to the distribution point as the developer can extend the gigabit-ready physical infrastructure to, but this would not be reasonably practicable for the developer due to the condition of the land in question, the infrastructure should be extended to an alternative point that is reasonably practicable.",1,12_UK_DocR_V1_InfrastructureForElectircalCommunications,
"Where the developer has no right over the land in question and where no connection to a gigabit-capable public electronic communications network is being provided because requirement RA2 is excluded or modified, and would be even if the gigabit-ready physical infrastructure was required to reach as close as is reasonably practicable to the distribution point, the developer is required to install the infrastructure to a point as close as is reasonably practicable to a location at which it reasonably expects a distribution point to be installed within the relevant 2-year period, i.e. a likelyfuture location (see Diagram 3a).",0,13_UK_DocR_V1_InfrastructureForElectircalCommunications,
1.17 The requirement to provide equipment such as an optical fibre cable or other technological means of facilitating a connection to a gigabit-capable public electronic communications network (requirement RA2) is separate to requirement RA1.,0,15_UK_DocR_V1_InfrastructureForElectircalCommunications,
"NOTE: Where a next fastest broadband connection or no connection to a public electronic communications network can be provided within the cost cap (see paragraphs 2.13 to 2.23), new dwellings must still be erected with gigabit-ready physical infrastructure installed to be ready to support a connection to a gigabit-capable public electronic communications network in the future.",0,16_UK_DocR_V1_InfrastructureForElectircalCommunications,
"1.20 Once the infrastructure has been planned, developers should provide the required particulars to a building control body demonstrating how the proposed approach complies with requirement RA1 and whether any exemptions are to be relied upon.",0,17_UK_DocR_V1_InfrastructureForElectircalCommunications,
"This could take the form of schematic diagrams, maps setting out the site layout and written evidence.",0,18_UK_DocR_V1_InfrastructureForElectircalCommunications,
"One way to meet the requirement for gigabit-ready physical infrastructure which extends beyond the dwelling is to design and install a system of ducts, chambers, cabinets, towers and poles that can facilitate at least one gigabit-capable public electronic communications network connection for all the dwellings serviced by that infrastructure.",1,19_UK_DocR_V1_InfrastructureForElectircalCommunications,
"Where full fibre connections are not available, other means of providing gigabit-capable public electronic communications network connections such as Data Over Cable Service Interface Specification (DOCSIS 3.1) or a fixed wireless access technology  should be explored before pursuing a next fastest broadband connection.",1,20_UK_DocR_V1_InfrastructureForElectircalCommunications,
"Where an access point is installed at a dwelling to facilitate connection to a gigabit-capable public electronic communications network, the ingress of moisture into the building and air leakage from the building should be prevented.",1,21_UK_DocR_V1_InfrastructureForElectircalCommunications,
"For a building that contains more than one dwelling, such as a block of flats, a common access point and gigabit-ready physical infrastructure inside the building are required.",1,22_UK_DocR_V1_InfrastructureForElectircalCommunications,
Diagram 5  Schematic example of gigabit-ready physical infrastructure for an individual dwelling.,0,23_UK_DocR_V1_InfrastructureForElectircalCommunications,
"For a building that contains more than one dwelling, the gigabit-ready physical infrastructure inside the building should have sufficient capacity and dimensions to host at least one gigabit-capable public electronic communications network connection for each dwelling.",1,24_UK_DocR_V1_InfrastructureForElectircalCommunications,
"Where a gigabit-capable connection is not installed pursuant to requirement RA2, the gigabit-ready physical infrastructure should be installed in such a way that it is protected from any deterioration resulting from exposure to the elements, so that it is ready to host connection to a gigabit-capable public electronic communications network in the future.",0,25_UK_DocR_V1_InfrastructureForElectircalCommunications,
"For example, ducting under land should be fully covered, and any infrastructure protruding from the building or ground should be encased where possible.",1,26_UK_DocR_V1_InfrastructureForElectircalCommunications,
"NOTE: Consideration should be given to the positioning of network termination points installed within the dwelling to ensure good connectivity throughout the dwelling, such as in central, open areas of the dwelling.",1,27_UK_DocR_V1_InfrastructureForElectircalCommunications,
"Diagram 6 Schematic example of gigabit-ready physical infrastructure for a block of flats (a building that contains more than one dwelling, in this case containing multiple dwellings).",0,28_UK_DocR_V1_InfrastructureForElectircalCommunications,
Section 2: Requirement RA2  connection to gigabit-capable network.,0,29_UK_DocR_V1_InfrastructureForElectircalCommunications,
This section deals with requirement RA2 from Part R of Schedule 1 and regulation 44ZC of the Building Regulations 2010.,0,30_UK_DocR_V1_InfrastructureForElectircalCommunications,
Each dwelling must in addition be provided with a connection to a gigabit-capable public electronic communications network.,1,31_UK_DocR_V1_InfrastructureForElectircalCommunications,
"(2) Where a person carrying out building work of the kind described in the second column of paragraph RA1 of Schedule 1 (the developer)(a)  is unable to secure the provision of a connection with a gigabit-capable public electronic communications network for a cost not exceeding the cost cap, but(b)  is able to secure the provision of a connection with a highspeed public electronic communications network for such a cost,paragraph RA2 of Schedule 1 is to be read as requiring the provision of a connection with a highspeed public electronic communications network.",0,32_UK_DocR_V1_InfrastructureForElectircalCommunications,
"(3)  Where the developer(a)  is unable to secure the provision of a connection with a high-speed public electronic communications network for a cost not exceeding the cost cap, but(b)  is able to secure the provision of a connection with a USOstandard public electronic communications network for such a cost,paragraph RA2 of Schedule 1 is to be read as requiring the provision of a connection with a USOstandard public electronic communications network.",0,33_UK_DocR_V1_InfrastructureForElectircalCommunications,
"(4)  Where the developer is unable to secure the provision of a connection with a USOstandard public electronic communications network for a cost not exceeding the cost cap, paragraph RA2 of Schedule 1 does not apply.",0,34_UK_DocR_V1_InfrastructureForElectircalCommunications,
(5) In paragraphs (2) to (4)high-speed public electronic communications network means a public electronic communications network that is a highspeed electronic communications network;USOstandard public electronic communications network means a public electronic communications network that provides at least the minimum download speed for the time being specified by virtue of section 65(2B)(a) of the Communications Act 2003 in the universal service order (as defined by section 151(1) of that Act).,0,35_UK_DocR_V1_InfrastructureForElectircalCommunications,
